refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,3.2965,3.5,0
VCOMP0,VCOMP0-1,0,-3.5,0
VCOMP1,VCOMP1-0,3.23578,-0.35,0.285714
VCOMP1,VCOMP1-1,0.0112861,0.35,0.285714
VCOMP2,VCOMP2-0,3.23644,-0.35,0.285714
VCOMP2,VCOMP2-1,0.0111856,0.35,0.285714
VCOMP3,VCOMP3-0,3.24241,-0.35,0.285714
VCOMP3,VCOMP3-1,0.00804888,0.35,0.285714
VCOMP4,VCOMP4-0,3.24875,-0.35,0.285714
VCOMP4,VCOMP4-1,0.0078158,0.35,0.285714
VCOMP5,VCOMP5-0,3.24214,-0.35,0.285714
VCOMP5,VCOMP5-1,0.0109322,0.35,0.285714
VCOMP6,VCOMP6-0,3.24198,-0.35,0.285714
VCOMP6,VCOMP6-1,0.0115526,0.35,0.285714
VCOMP7,VCOMP7-0,3.24041,-0.35,0.285714
VCOMP7,VCOMP7-1,0.0115302,0.35,0.285714
VCOMP8,VCOMP8-0,3.25499,-0.35,0.285714
VCOMP8,VCOMP8-1,0.00815464,0.35,0.285714
VCOMP9,VCOMP9-0,3.24025,-0.35,0.285714
VCOMP9,VCOMP9-1,0.0116379,0.35,0.285714
VCOMP10,VCOMP10-0,3.24598,-0.35,0.285714
VCOMP10,VCOMP10-1,0.0104303,0.35,0.285714
