Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Led Panel\.\led panel\Generates pick and place files\Pick Place for Led Panel.csv

========================================================================================================================
File Design Information:

Date:       14/04/23
Time:       15:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"PWR","282834-2","BottomLayer","-0.1000","-26.8250","180"
"D49","L1IG-0750100000000","TopLayer","-19.6250","-8.2835","300"
"D48","L1IG-0750100000000","TopLayer","-8.2835","-19.6250","150"
"D47","L1IG-0750100000000","TopLayer","-14.8232","15.1768","225"
"D46","L1IG-0750100000000","TopLayer","15.1768","-14.8232","225"
"D45","L1IG-0750100000000","TopLayer","14.8232","15.1768","315"
"D44","L1IG-0750100000000","TopLayer","-4.5732","5.5018","225"
"D43","L1IG-0750100000000","TopLayer","-0.2500","22.0000","0"
"D42","L1IG-0750100000000","TopLayer","22.0000","0.2500","270"
"D41","L1IG-0750100000000","TopLayer","-22.0000","0.2500","270"
"D40","L1IG-0750100000000","TopLayer","-5.9202","-15.6184","145"
"D39","L1IG-0750100000000","TopLayer","19.3750","8.7165","300"
"D38","L1IG-0750100000000","TopLayer","19.5855","-8.2651","250"
"D37","L1IG-0750100000000","TopLayer","8.7048","-19.3566","215"
"D36","L1IG-0750100000000","TopLayer","10.0855","12.5106","315"
"D35","L1IG-0750100000000","TopLayer","-9.7048","13.3566","35"
"D34","L1IG-0750100000000","TopLayer","-14.8232","-15.1768","135"
"D33","L1IG-0750100000000","TopLayer","8.2792","19.6174","332"
"D32","L1IG-0750100000000","TopLayer","-8.2835","19.6250","210"
"D31","L1IG-0750100000000","TopLayer","-19.4145","8.7349","250"
"D30","L1IG-0750100000000","TopLayer","14.8393","7.8415","310"
"D29","L1IG-0750100000000","TopLayer","17.3500","0.9250","270"
"D28","L1IG-0750100000000","TopLayer","16.2557","-6.5734","245"
"D27","L1IG-0750100000000","TopLayer","12.3518","-11.6982","225"
"D26","L1IG-0750100000000","TopLayer","6.3798","-16.0066","215"
"D25","L1IG-0750100000000","TopLayer","-5.0232","-4.8768","135"
"D24","L1IG-0750100000000","TopLayer","-10.2982","-11.7268","135"
"D23","L1IG-0750100000000","TopLayer","-14.3750","-6.2165","120"
"D22","L1IG-0750100000000","TopLayer","-16.6000","0.5000","90"
"D21","L1IG-0750100000000","TopLayer","-14.2806","8.6734","65"
"D20","L1IG-0750100000000","TopLayer","6.5048","-10.5566","215"
"D19","L1IG-0750100000000","TopLayer","10.4750","-6.1629","240"
"D18","L1IG-0750100000000","TopLayer","5.8085","10.4607","320"
"D17","L1IG-0750100000000","TopLayer","10.1566","6.2048","305"
"D16","L1IG-0750100000000","TopLayer","12.0000","0.2500","270"
"D15","L1IG-0750100000000","TopLayer","-12.0000","0.2500","270"
"D14","L1IG-0750100000000","TopLayer","-0.2500","-12.0000","0"
"D13","L1IG-0750100000000","TopLayer","-0.2500","12.0000","0"
"D12","L1IG-0750100000000","TopLayer","-2.8599","16.4645","20"
"D11","L1IG-0750100000000","TopLayer","4.6085","15.9000","330"
"D10","L1IG-0750100000000","TopLayer","4.9096","-4.8654","225"
"D9","L1IG-0750100000000","TopLayer","4.7232","5.1768","315"
"D8","L1IG-0750100000000","TopLayer","-0.2500","-7.5000","0"
"D7","L1IG-0750100000000","TopLayer","-0.2500","7.5000","0"
"D6","L1IG-0750100000000","TopLayer","-7.5000","0.2500","270"
"D5","L1IG-0750100000000","TopLayer","7.5000","0.2500","270"
"D4","L1IG-0750100000000","TopLayer","-6.1232","-10.0768","135"
"D3","L1IG-0750100000000","TopLayer","-10.0066","-5.6048","125"
"D2","L1IG-0750100000000","TopLayer","-10.3250","6.0835","60"
"D1","L1IG-0750100000000","TopLayer","-6.2048","10.1566","35"
